"plot";"subplot";"Plant";"indv";"seeds";"fruits";"x_coor2";"y_coor2";"seed.indv";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
3;"B2";"BEMA";2;4;5;"80";"56";20;0;0;0;0;0;"e";201;201;"e";201;2
3;"B2";"CHMI";8;14;2;"80";"56";28;0;0;0;0;0;"e";195;195;"e";195;8
3;"B3";"LEMA";10;52,5;14;"80";"57,5";735;0;2;0;0;0;"e";148;148;"e";148;10
3;"B3";"CHFU";1;32;2;"80";"57,5";64;0;0;0;1;0;"e";158;158;"e";158;0
3;"B3";"BEMA";2;4;9;"80";"57,5";36;0;0;0;0;0;"e";156;156;"e";156;2
3;"B3";"CETE";1;111;7;"80";"57,5";777;0;0;0;0;0;"e";158;158;"e";158;0
3;"B3";"CHMI";2;14;1;"80";"57,5";14;0;0;0;0;0;"e";156;156;"e";156;2
3;"B4";"PUPA";5;6;13;"80";"59";78;2;0;0;0;0;"e";188;188;"e";188;5
3;"B4";"CETE";6;111;2;"80";"59";222;0;0;0;0;0;"e";187;187;"e";187;6
3;"B4";"CHMI";1;14;3;"80";"59";42;0;0;0;0;0;"e";192;192;"e";192;1
3;"B4";"SCLA";4;31;2,5;"80";"59";77,5;0;0;0;0;0;"e";189;189;"e";189;4
3;"B5";"LEMA";28;59,3333333333333;5;"80";"60,5";296,666666666667;3;3;0;0;0;"e";221;221;"e";221;28
3;"B5";"PUPA";9;59;11,5;"80";"60,5";678,5;3;0;0;0;0;"e";240;240;"e";240;9
3;"B5";"BEMA";2;4;24;"80";"60,5";96;0;0;0;0;0;"e";247;247;"e";247;2
3;"B5";"SCLA";2;31;2;"80";"60,5";62;0;0;0;0;0;"e";247;247;"e";247;2
3;"C2";"LEMA";14;53;2;"81,5";"56";106;0;4;0;2;0;"e";145;145;"e";145;14
3;"C2";"BEMA";1;4;12;"81,5";"56";48;0;0;0;0;0;"e";158;158;"e";158;1
3;"C2";"CETE";3;111;11;"81,5";"56";1221;0;0;0;0;0;"e";156;156;"e";156;3
3;"C2";"SCLA";1;31;2;"81,5";"56";62;0;0;0;0;0;"e";158;158;"e";158;1
3;"C3";"LEMA";11;42;15;"81,5";"57,5";630;3;6;0;0;0;"e";107;107;"e";107;11
