"plot";"subplot";"Group";"Plant";"indv";"seeds";"fruits";"vis"
2;"E4";"Beetle";"LEMA";77;234;13;8
2;"E4";NA;"BEMA";10;264;66;0
2;"E4";NA;"CHFU";2;32;1;0
2;"E4";NA;"SCLA";1;31;1;0
2;"E4";NA;"SOAS";9;385;7;0
2;"E5";"Bee";"LEMA";41;637;14;1
2;"E5";"Beetle";"LEMA";41;637;14;6
2;"E5";"Fly";"CETE";7;555;5;2
2;"E5";NA;"BEMA";10;320;80;0
2;"E5";NA;"PUPA";1;207;9;0
2;"E5";NA;"SCLA";9;93;3;0
2;"E6";"Beetle";"LEMA";83;415;5;3
2;"E6";"Fly";"PUPA";4;231;16,5;1
2;"E6";NA;"BEMA";8;152;38;0
2;"E6";NA;"CETE";33;777;7;0
2;"E6";NA;"SCLA";1;62;2;0
2;"E6";NA;"SOAS";3;275;5;0
2;"F1";"Beetle";"LEMA";62;342;6;8
2;"F1";"Fly";"LEMA";62;342;6;3
2;"F1";NA;"BEMA";11;56;14;0
2;"F1";NA;"CETE";1;1221;11;0
2;"F1";NA;"SCLA";1;31;1;0
2;"F1";NA;"SOAS";1;220;4;0
2;"F2";"Bee";"LEMA";48;585;10;4
2;"F2";"Beetle";"LEMA";48;585;10;3
2;"F2";"Fly";"CHFU";1;96;3;1
2;"F2";"Fly";"LEMA";48;585;10;2
2;"F2";NA;"BEMA";5;64;16;0
2;"F2";NA;"CETE";1;1887;17;0
2;"F3";"Beetle";"LEMA";88;924;12;5
2;"F3";"Fly";"CETE";13;555;5;1
2;"F3";NA;"BEMA";5;112;28;0
2;"F4";"Beetle";"LEMA";67;945;15;9
2;"F4";"Fly";"LEMA";67;945;15;4
2;"F4";NA;"BEMA";4;152;38;0
2;"F4";NA;"CETE";8;888;8;0
2;"F4";NA;"CHFU";1;64;2;0
2;"F4";NA;"SOAS";8;880;16;0
2;"F5";"Beetle";"LEMA";150;792;9;3
2;"F5";NA;"BEMA";30;200;50;0
2;"F5";NA;"CETE";6;666;6;0
2;"F5";NA;"CHMI";10;70;5;0
2;"F5";NA;"SCLA";7;62;2;0
2;"F6";"Beetle";"LEMA";132;385;5;2
2;"F6";"Fly";"LEMA";132;385;5;1
2;"F6";NA;"BEMA";9;96;24;0
2;"F6";NA;"CETE";11;1776;16;0
2;"F6";NA;"PUPA";6;337,333333333333;14,6666666666667;0
2;"F6";NA;"SCLA";6;62;2;0
3;"A1";"Beetle";"LEMA";6;58;1;5
3;"A1";"Fly";"CHFU";1;64;2;1
3;"A1";NA;"PUPA";1;230;10;0
3;"A2";"Beetle";"LEMA";7;348;6;4
3;"A2";NA;"CETE";1;1720,5;15,5;0
3;"A2";NA;"CHFU";1;96;3;0
3;"A3";"Bee";"CETE";1;1221;11;2
3;"A3";"Bee";"PUPA";1;0;14,6904761904762;1
3;"A3";"Beetle";"LEMA";18;243,5625;6,765625;3
3;"A3";NA;"BEMA";6;224;56;0
3;"A3";NA;"CHFU";3;288;9;0
3;"A3";NA;"CHMI";4;518;37;0
3;"A3";NA;"SCLA";2;62;2;0
3;"A4";"Bee";"LEMA";36;116;2;2
3;"A4";"Bee";"PUPA";19;580,5;13,5;2
3;"A4";"Beetle";"LEMA";36;116;2;4
3;"A4";"Fly";"CHFU";1;330,666666666667;10,3333333333333;1
3;"A4";"Fly";"CHMI";14;304;5,33333333333333;1
3;"A4";NA;"BEMA";4;40;10;0
3;"A4";NA;"CETE";1;777;7;0
3;"A5";"Beetle";"LEMA";13;392,40625;6,765625;4
3;"A5";"Fly";"LEMA";13;392,40625;6,765625;3
3;"A5";NA;"CETE";2;666;6;0
3;"A5";NA;"PUPA";6;471,5;20,5;0
3;"A6";"Beetle";"LEMA";10;365,34375;6,765625;5
3;"A6";NA;"CETE";1;1221;11;0
3;"A6";NA;"PUPA";1;161;7;0
3;"B1";"Beetle";"LEMA";4;36;1;1
3;"B1";"Butterfly";"PUPA";1;330;11;1
3;"B1";"Fly";"PUPA";1;330;11;1
3;"B1";NA;"CETE";1;333;3;0
3;"B1";NA;"CHFU";1;32;1;0
3;"B1";NA;"CHMI";3;42;3;0
3;"B2";"Beetle";"LEMA";8;174;3;2
3;"B2";NA;"BEMA";2;20;5;0
3;"B2";NA;"CHMI";8;28;2;0
3;"B3";"Beetle";"LEMA";10;735;14;2
3;"B3";"Fly";"CHFU";1;64;2;1
3;"B3";NA;"BEMA";2;36;9;0
3;"B3";NA;"CETE";1;777;7;0
3;"B3";NA;"CHMI";2;14;1;0
3;"B4";"Bee";"PUPA";5;78;13;2
3;"B4";"Beetle";"LEMA";18;575,078125;6,765625;3
3;"B4";NA;"CETE";6;222;2;0
3;"B4";NA;"CHMI";1;42;3;0
3;"B4";NA;"SCLA";4;77,5;2,5;0
3;"B5";"Bee";"CETE";5;1096,125;9,875;2
3;"B5";"Bee";"LEMA";28;296,666666666667;5;3
3;"B5";"Bee";"PUPA";9;678,5;11,5;3
3;"B5";"Beetle";"LEMA";28;296,666666666667;5;3
3;"B5";NA;"BEMA";2;96;24;0
3;"B5";NA;"SCLA";2;62;2;0
3;"B6";"Beetle";"CHFU";3;544;17;1
3;"B6";"Beetle";"LEMA";36;450;6;5
3;"B6";NA;"BEMA";1;48;12;0
3;"B6";NA;"CETE";3;777;7;0
3;"B6";NA;"PUPA";1;241,5;10,5;0
3;"C1";"Beetle";"LEMA";12;804;12;1
3;"C1";"Fly";"CHFU";1;330,666666666667;10,3333333333333;1
3;"C1";"Fly";"CHMI";12;133;9,5;6
3;"C1";NA;"BEMA";2;252;63;0
3;"C1";NA;"CETE";1;888;8;0
3;"C2";"Beetle";"LEMA";14;106;2;4
3;"C2";"Fly";"CHMI";4;178,208333333333;12,7291666666667;2
3;"C2";"Fly";"LEMA";14;106;2;2
3;"C2";NA;"BEMA";1;48;12;0
3;"C2";NA;"CETE";3;1221;11;0
3;"C2";NA;"SCLA";1;62;2;0
3;"C3";"Bee";"LEMA";11;630;15;3
3;"C3";"Bee";"PUPA";1;0;14,6904761904762;2
3;"C3";"Beetle";"CHFU";14;429;33;1
3;"C3";"Beetle";"LEMA";11;630;15;6
3;"C3";"Fly";"CHFU";14;429;33;1
3;"C3";NA;"BEMA";7;100;25;0
3;"C3";NA;"CETE";1;777;7;0
3;"C3";NA;"SCLA";2;93;3;0
3;"C3";NA;"SOAS";1;110;2;0
3;"C4";"Beetle";"LEMA";10;40;1;7
3;"C4";NA;"BEMA";5;20;5;0
3;"C4";NA;"CETE";2;1221;11;0
3;"C4";NA;"CHFU";1;128;4;0
3;"C4";NA;"SOAS";1;825;15;0
3;"C5";"Beetle";"LEMA";39;580;10;1
3;"C5";NA;"BEMA";2;56;14;0
3;"C5";NA;"CETE";2;999;9;0
3;"C5";NA;"CHFU";4;480;15;0
3;"C5";NA;"PUPA";1;345;15;0
3;"C6";"Beetle";"CHFU";2;330,666666666667;10,3333333333333;1
3;"C6";NA;"BEMA";4;52;13;0
3;"C6";NA;"LEMA";44;174;3;0
3;"C6";NA;"SCLA";2;93;3;0
3;"D1";"Fly";"CHFU";1;330,666666666667;10,3333333333333;1
3;"D1";NA;"LEMA";4;116;2;0
3;"D1";NA;"SCLA";2;62;2;0
3;"D1";NA;"SOAS";1;220;4;0
3;"D2";"Bee";"LEMA";8;1044;18;1
3;"D2";"Beetle";"LEMA";8;1044;18;3
3;"D2";"Fly";"CHFU";2;330,666666666667;10,3333333333333;1
3;"D2";NA;"CETE";1;2331;21;0
3;"D2";NA;"PUPA";1;506;22;0
3;"D3";"Beetle";"LEMA";10;377;6,5;4
3;"D3";NA;"SCLA";2;248;8;0
3;"D4";"Bee";"PUPA";3;172,5;7,5;2
3;"D4";"Fly";"CHFU";3;416;13;1
3;"D4";NA;"BEMA";1;108;27;0
3;"D4";NA;"CETE";12;888;8;0
3;"D4";NA;"LEMA";24;580;10;0
3;"D4";NA;"SOAS";1;275;5;0
3;"D5";"Bee";"PUPA";9;3244,5;31,5;6
3;"D5";"Beetle";"LEMA";36;140;4;2
3;"D5";"Fly";"LEMA";36;140;4;2
